game_id_x,platform_id_x,title_category,title_category_id,normilized_title_id,normalized_title,developer_id,game_id_str,Label,year,working_index,number_of_projects_been,changing_title,changing_poitions
"21,570",9,Other,8,71,Other,"1,019",21570,StarCraft 64,2000.0,85988,0.0,1.0,2.0
"21,570",9,Other,8,71,Other,"1,020",21570,StarCraft 64,2000.0,85989,0.0,2.0,3.0
"21,570",9,Production,5,56,Executive Producer,"1,020",21570,StarCraft 64,2000.0,85990,0.0,1.0,2.0
"21,570",9,Other,8,71,Other,"1,021",21570,StarCraft 64,2000.0,85991,0.0,1.0,2.0
"21,570",9,Other,8,71,Other,"1,022",21570,StarCraft 64,2000.0,85992,0.0,1.0,2.0
"21,570",9,Design,1,55,Level/Scenario Designer,"1,023",21570,StarCraft 64,2000.0,85993,0.0,2.0,2.0
"21,570",9,Other,8,71,Other,"1,023",21570,StarCraft 64,2000.0,85994,0.0,2.0,3.0
"21,570",9,Production,5,56,Executive Producer,"1,023",21570,StarCraft 64,2000.0,85995,0.0,1.0,2.0
"21,570",9,Art/Graphics,3,10,Artist,"1,026",21570,StarCraft 64,2000.0,85996,0.0,1.0,2.0
"21,570",9,Writers,20,52,Story Writer,"1,038",21570,StarCraft 64,2000.0,85997,0.0,2.0,2.0
"29,958",82,Programming/Engineering,2,4,Programmer,"1,040",29958,Metroid Prime 3: Corruption,2007.0,86063,0.0,1.0,1.0
138,33,Art/Graphics,3,10,Artist,"1,073",138,0,1981.0,8181,0.0,1.0,2.0
"20,629",14,Programming/Engineering,2,4,Programmer,"1,098",20629,Super Mario Strikers,2005.0,86743,2.0,1.0,1.0
"29,116",82,Programming/Engineering,2,4,Programmer,"1,098",29116,Mario Strikers Charged,2007.0,87082,3.0,1.0,2.0
"41,524",82,Programming/Engineering,2,13,Technical Director,"1,098",41524,Punch-Out!!,2009.0,87312,0.0,1.0,2.0
"7,783",14,Other,8,71,Other,"1,116",7783,Metroid Prime,2002.0,8285,0.0,1.0,2.0
"6,610",15,Art/Graphics,3,70,Animator,"1,140",6610,Super Star Wars,1992.0,3795,2.0,1.0,3.0
"3,105",3,Art/Graphics,3,70,Animator,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10553,0.0,1.0,3.0
"3,105",3,Art/Graphics,3,100,Lead Artist,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10555,0.0,2.0,3.0
"3,105",3,Design,1,20,Designer,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10557,0.0,2.0,3.0
"3,105",3,Video/Cinematics,10,89,Video Engineering / Post-Production,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10559,0.0,3.0,3.0
"3,105",9,Art/Graphics,3,10,Artist,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10561,0.0,1.0,3.0
"3,105",9,Art/Graphics,3,70,Animator,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10563,0.0,2.0,3.0
"3,105",9,Design,1,33,Lead Designer,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10565,0.0,2.0,2.0
"3,105",9,Other,8,37,Unknown,"1,140",3105,Star Wars: Shadows of the Empire,1996.0,10567,3.0,2.0,3.0
276,3,Art/Graphics,3,70,Animator,"1,140",276,Star Wars: Episode I - Racer,1999.0,8765,0.0,2.0,3.0
276,3,Design,1,55,Level/Scenario Designer,"1,140",276,Star Wars: Episode I - Racer,1999.0,8768,0.0,2.0,2.0
276,3,Production,5,60,Project Director / Leader / Manager,"1,140",276,Star Wars: Episode I - Racer,1999.0,8771,0.0,1.0,3.0
276,8,Production,5,60,Project Director / Leader / Manager,"1,140",276,Star Wars: Episode I - Racer,1999.0,8774,0.0,2.0,3.0
276,9,Art/Graphics,3,10,Artist,"1,140",276,Star Wars: Episode I - Racer,1999.0,8777,0.0,2.0,3.0
276,9,Design,1,55,Level/Scenario Designer,"1,140",276,Star Wars: Episode I - Racer,1999.0,8780,0.0,2.0,2.0
276,9,Production,5,60,Project Director / Leader / Manager,"1,140",276,Star Wars: Episode I - Racer,1999.0,8783,0.0,2.0,3.0
276,11,Art/Graphics,3,58,Character Modeler,"1,140",276,Star Wars: Episode I - Racer,1999.0,8786,0.0,1.0,3.0
276,11,Art/Graphics,3,70,Animator,"1,140",276,Star Wars: Episode I - Racer,1999.0,8789,0.0,2.0,3.0
276,11,Design,1,55,Level/Scenario Designer,"1,140",276,Star Wars: Episode I - Racer,1999.0,8792,0.0,2.0,2.0
276,11,Other,8,37,Unknown,"1,140",276,Star Wars: Episode I - Racer,1999.0,8795,0.0,2.0,3.0
276,11,Production,5,60,Project Director / Leader / Manager,"1,140",276,Star Wars: Episode I - Racer,1999.0,8798,0.0,2.0,3.0
276,74,Art/Graphics,3,70,Animator,"1,140",276,Star Wars: Episode I - Racer,1999.0,8801,0.0,2.0,3.0
276,74,Design,1,55,Level/Scenario Designer,"1,140",276,Star Wars: Episode I - Racer,1999.0,8804,0.0,2.0,2.0
276,74,Production,5,60,Project Director / Leader / Manager,"1,140",276,Star Wars: Episode I - Racer,1999.0,8807,0.0,1.0,2.0
"3,105",3,Programming/Engineering,2,4,Programmer,"1,141",3105,Star Wars: Shadows of the Empire,1996.0,10569,0.0,1.0,2.0
"3,105",3,Programming/Engineering,2,13,Technical Director,"1,141",3105,Star Wars: Shadows of the Empire,1996.0,10571,0.0,1.0,3.0
"3,105",9,Programming/Engineering,2,4,Programmer,"1,141",3105,Star Wars: Shadows of the Empire,1996.0,10573,2.0,2.0,2.0
276,3,Production,5,60,Project Director / Leader / Manager,"1,141",276,Star Wars: Episode I - Racer,1999.0,8810,0.0,2.0,3.0
276,3,Programming/Engineering,2,4,Programmer,"1,141",276,Star Wars: Episode I - Racer,1999.0,8813,0.0,2.0,2.0
276,8,Production,5,60,Project Director / Leader / Manager,"1,141",276,Star Wars: Episode I - Racer,1999.0,8816,0.0,1.0,3.0
276,9,Production,5,60,Project Director / Leader / Manager,"1,141",276,Star Wars: Episode I - Racer,1999.0,8819,0.0,2.0,3.0
276,9,Programming/Engineering,2,4,Programmer,"1,141",276,Star Wars: Episode I - Racer,1999.0,8822,0.0,2.0,2.0
276,11,Other,8,37,Unknown,"1,141",276,Star Wars: Episode I - Racer,1999.0,8825,0.0,2.0,3.0
276,11,Production,5,60,Project Director / Leader / Manager,"1,141",276,Star Wars: Episode I - Racer,1999.0,8828,0.0,2.0,3.0
276,11,Programming/Engineering,2,4,Programmer,"1,141",276,Star Wars: Episode I - Racer,1999.0,8831,0.0,2.0,2.0
